GEOID20,Name,District
42101001318,PHILADELPHIA WARD 13 PRECINCT 18,2
42101001319,PHILADELPHIA WARD 13 PRECINCT 19,2
42101001320,PHILADELPHIA WARD 13 PRECINCT 20,2
42101001321,PHILADELPHIA WARD 13 PRECINCT 21,2
42101001322,PHILADELPHIA WARD 13 PRECINCT 22,2
42101001323,PHILADELPHIA WARD 13 PRECINCT 23,2
42101001324,PHILADELPHIA WARD 13 PRECINCT 24,2
42101001325,PHILADELPHIA WARD 13 PRECINCT 25,2
42101001401,PHILADELPHIA WARD 14 PRECINCT 01,5
42101001402,PHILADELPHIA WARD 14 PRECINCT 02,5
42101001403,PHILADELPHIA WARD 14 PRECINCT 03,5
42101001404,PHILADELPHIA WARD 14 PRECINCT 04,5
42101001405,PHILADELPHIA WARD 14 PRECINCT 05,5
42101001406,PHILADELPHIA WARD 14 PRECINCT 06,5
42101001407,PHILADELPHIA WARD 14 PRECINCT 07,5
42101001408,PHILADELPHIA WARD 14 PRECINCT 08,5
42101001409,PHILADELPHIA WARD 14 PRECINCT 09,5
42101001410,PHILADELPHIA WARD 14 PRECINCT 10,5
42101001411,PHILADELPHIA WARD 14 PRECINCT 11,5
42101001501,PHILADELPHIA WARD 15 PRECINCT 01,5
42101001502,PHILADELPHIA WARD 15 PRECINCT 02,5
42101001503,PHILADELPHIA WARD 15 PRECINCT 03,5
42101001504,PHILADELPHIA WARD 15 PRECINCT 04,5
42101001505,PHILADELPHIA WARD 15 PRECINCT 05,5
42101001506,PHILADELPHIA WARD 15 PRECINCT 06,5
42101001507,PHILADELPHIA WARD 15 PRECINCT 07,5
42101001508,PHILADELPHIA WARD 15 PRECINCT 08,5
42101001509,PHILADELPHIA WARD 15 PRECINCT 09,5
42101001510,PHILADELPHIA WARD 15 PRECINCT 10,5
42101001511,PHILADELPHIA WARD 15 PRECINCT 11,5
42101001512,PHILADELPHIA WARD 15 PRECINCT 12,5
42101001513,PHILADELPHIA WARD 15 PRECINCT 13,5
42101001514,PHILADELPHIA WARD 15 PRECINCT 14,5
42101001515,PHILADELPHIA WARD 15 PRECINCT 15,5
42101001516,PHILADELPHIA WARD 15 PRECINCT 16,5
42101001517,PHILADELPHIA WARD 15 PRECINCT 17,5
42101001518,PHILADELPHIA WARD 15 PRECINCT 18,5
42101001519,PHILADELPHIA WARD 15 PRECINCT 19,5
42101001601,PHILADELPHIA WARD 16 PRECINCT 01,5
42101001602,PHILADELPHIA WARD 16 PRECINCT 02,5
42101001603,PHILADELPHIA WARD 16 PRECINCT 03,5
42101001604,PHILADELPHIA WARD 16 PRECINCT 04,5
42101001605,PHILADELPHIA WARD 16 PRECINCT 05,5
42101001606,PHILADELPHIA WARD 16 PRECINCT 06,5
42101001607,PHILADELPHIA WARD 16 PRECINCT 07,5
42101001608,PHILADELPHIA WARD 16 PRECINCT 08,5
42101001609,PHILADELPHIA WARD 16 PRECINCT 09,5
42101001610,PHILADELPHIA WARD 16 PRECINCT 10,5
42101001611,PHILADELPHIA WARD 16 PRECINCT 11,5
42101001612,PHILADELPHIA WARD 16 PRECINCT 12,5
42101001613,PHILADELPHIA WARD 16 PRECINCT 13,5
42101001614,PHILADELPHIA WARD 16 PRECINCT 14,5
42101001615,PHILADELPHIA WARD 16 PRECINCT 15,5
42101001616,PHILADELPHIA WARD 16 PRECINCT 16,5
42101001617,PHILADELPHIA WARD 16 PRECINCT 17,2
42101001618,PHILADELPHIA WARD 16 PRECINCT 18,2
42101001701,PHILADELPHIA WARD 17 PRECINCT 01,2
42101001702,PHILADELPHIA WARD 17 PRECINCT 02,2
42101001703,PHILADELPHIA WARD 17 PRECINCT 03,2
42101001704,PHILADELPHIA WARD 17 PRECINCT 04,2
42101001705,PHILADELPHIA WARD 17 PRECINCT 05,2
42101001706,PHILADELPHIA WARD 17 PRECINCT 06,2
42101001707,PHILADELPHIA WARD 17 PRECINCT 07,2
42101001708,PHILADELPHIA WARD 17 PRECINCT 08,2
42101001709,PHILADELPHIA WARD 17 PRECINCT 09,2
42101001710,PHILADELPHIA WARD 17 PRECINCT 10,2
42101001711,PHILADELPHIA WARD 17 PRECINCT 11,2
42101001712,PHILADELPHIA WARD 17 PRECINCT 12,2
42101001713,PHILADELPHIA WARD 17 PRECINCT 13,2
42101001714,PHILADELPHIA WARD 17 PRECINCT 14,2
42101001715,PHILADELPHIA WARD 17 PRECINCT 15,2
42101001716,PHILADELPHIA WARD 17 PRECINCT 16,2
42101001717,PHILADELPHIA WARD 17 PRECINCT 17,2
42101001718,PHILADELPHIA WARD 17 PRECINCT 18,2
42101001719,PHILADELPHIA WARD 17 PRECINCT 19,2
42101001720,PHILADELPHIA WARD 17 PRECINCT 20,2
42101001721,PHILADELPHIA WARD 17 PRECINCT 21,2
42101001722,PHILADELPHIA WARD 17 PRECINCT 22,2
42101001723,PHILADELPHIA WARD 17 PRECINCT 23,2
42101001724,PHILADELPHIA WARD 17 PRECINCT 24,2
42101001725,PHILADELPHIA WARD 17 PRECINCT 25,2
42101001726,PHILADELPHIA WARD 17 PRECINCT 26,2
42101001727,PHILADELPHIA WARD 17 PRECINCT 27,2
42101001728,PHILADELPHIA WARD 17 PRECINCT 28,2
42101001729,PHILADELPHIA WARD 17 PRECINCT 29,2
42101001799,PHILADELPHIA WARD 18 PRECINCT 01,4
42101001803,PHILADELPHIA WARD 18 PRECINCT 03,4
42101001805,PHILADELPHIA WARD 18 PRECINCT 05,4
42101001806,PHILADELPHIA WARD 18 PRECINCT 06,4
42101001807,PHILADELPHIA WARD 18 PRECINCT 07,4
42101001808,PHILADELPHIA WARD 18 PRECINCT 08,4
42101001810,PHILADELPHIA WARD 18 PRECINCT 10,4
42101001811,PHILADELPHIA WARD 18 PRECINCT 11,4
42101001812,PHILADELPHIA WARD 18 PRECINCT 12,4
42101001813,PHILADELPHIA WARD 18 PRECINCT 13,4
42101001814,PHILADELPHIA WARD 18 PRECINCT 14,4
42101001815,PHILADELPHIA WARD 18 PRECINCT 15,4
42101001816,PHILADELPHIA WARD 18 PRECINCT 16,4
42101001817,PHILADELPHIA WARD 18 PRECINCT 17,4
42101001818,PHILADELPHIA WARD 18 PRECINCT 18,4
42101001819,PHILADELPHIA WARD 18 PRECINCT 09,4
42101001820,PHILADELPHIA WARD 18 PRECINCT 02,4
42101001821,PHILADELPHIA WARD 18 PRECINCT 04,4
42101001822,PHILADELPHIA WARD 18 PRECINCT 19,4
42101001901,PHILADELPHIA WARD 19 PRECINCT 01,4
42101001902,PHILADELPHIA WARD 19 PRECINCT 02,4
42101001903,PHILADELPHIA WARD 19 PRECINCT 03,4
42101001904,PHILADELPHIA WARD 19 PRECINCT 04,4
42101001905,PHILADELPHIA WARD 19 PRECINCT 05,4
